# Species Scorer Output 
#  Time [ps]    Gx(/100 eV)            RMS      Gx(#Mols)            Molecule
           1              0              0              0   DNA_DamagedDeoxyribose_H3_OH^0
      1.2045              0              0              0   DNA_DamagedDeoxyribose_H3_OH^0
     1.45083              0              0              0   DNA_DamagedDeoxyribose_H3_OH^0
     1.74753              0              0              0   DNA_DamagedDeoxyribose_H3_OH^0
      2.1049              0              0              0   DNA_DamagedDeoxyribose_H3_OH^0
     2.53536              0              0              0   DNA_DamagedDeoxyribose_H3_OH^0
     3.05386              0              0              0   DNA_DamagedDeoxyribose_H3_OH^0
     3.67838              0              0              0   DNA_DamagedDeoxyribose_H3_OH^0
     4.43062              0              0              0   DNA_DamagedDeoxyribose_H3_OH^0
      5.3367              0              0              0   DNA_DamagedDeoxyribose_H3_OH^0
     6.42807              0              0              0   DNA_DamagedDeoxyribose_H3_OH^0
     7.74264              0              0              0   DNA_DamagedDeoxyribose_H3_OH^0
     9.32603              0              0              0   DNA_DamagedDeoxyribose_H3_OH^0
          10              0              0              0   DNA_DamagedDeoxyribose_H3_OH^0
     11.2332              0              0              0   DNA_DamagedDeoxyribose_H3_OH^0
     13.5305              0              0              0   DNA_DamagedDeoxyribose_H3_OH^0
     16.2975              0              0              0   DNA_DamagedDeoxyribose_H3_OH^0
     19.6304              0              0              0   DNA_DamagedDeoxyribose_H3_OH^0
     23.6449              0              0              0   DNA_DamagedDeoxyribose_H3_OH^0
     28.4804              0              0              0   DNA_DamagedDeoxyribose_H3_OH^0
     34.3047              0              0              0   DNA_DamagedDeoxyribose_H3_OH^0
     41.3201              0              0              0   DNA_DamagedDeoxyribose_H3_OH^0
     49.7702              0              0              0   DNA_DamagedDeoxyribose_H3_OH^0
     59.9484              0              0              0   DNA_DamagedDeoxyribose_H3_OH^0
     72.2081              0              0              0   DNA_DamagedDeoxyribose_H3_OH^0
     86.9749              0              0              0   DNA_DamagedDeoxyribose_H3_OH^0
         100              0              0              0   DNA_DamagedDeoxyribose_H3_OH^0
     104.762              0              0              0   DNA_DamagedDeoxyribose_H3_OH^0
     126.186              0              0              0   DNA_DamagedDeoxyribose_H3_OH^0
     151.991              0              0              0   DNA_DamagedDeoxyribose_H3_OH^0
     183.074              0              0              0   DNA_DamagedDeoxyribose_H3_OH^0
     220.513              0              0              0   DNA_DamagedDeoxyribose_H3_OH^0
     265.609              0              0              0   DNA_DamagedDeoxyribose_H3_OH^0
     319.927              0              0              0   DNA_DamagedDeoxyribose_H3_OH^0
     385.353              0              0              0   DNA_DamagedDeoxyribose_H3_OH^0
     464.159              0              0              0   DNA_DamagedDeoxyribose_H3_OH^0
     559.081              0              0              0   DNA_DamagedDeoxyribose_H3_OH^0
